#STEP	ORF_PREDICTION
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	COMPUTE_REFSCORE
#STEP	ANNOTATE_ORFS
#STEP	CREATE_ANNOT_REPORTS
#STEP	COMPUTE_REFSCORE
#STEP	ANNOTATE_ORFS
#STEP	CREATE_ANNOT_REPORTS
#STEP	RPKM_CALCULATION
#STEP	RPKM_CALCULATION
#STEP	ORF_PREDICTION
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	COMPUTE_REFSCORE
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	tRNA_SCAN
#STEP	ANNOTATE_ORFS
#STEP	CREATE_ANNOT_REPORTS
#STEP	BUILD_PGDB
#STEP	RPKM_CALCULATION
#STEP	RPKM_CALCULATION
ERROR	RPKM executable /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1//executables/macosx/rpkm not found!
#STEP	RPKM_CALCULATION
ERROR	RPKM executable /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1//executables/macosx/rpkm not found!
#STEP	ORF_PREDICTION
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	COMPUTE_REFSCORE
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	STATS_rRNA
#STEP	tRNA_SCAN
#STEP	ANNOTATE_ORFS
#STEP	CREATE_ANNOT_REPORTS
#STEP	BUILD_PGDB
#STEP	RPKM_CALCULATION
ERROR	RPKM executable /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1//executables/macosx/rpkm not found!
#STEP	ORF_PREDICTION
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	COMPUTE_REFSCORE
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	tRNA_SCAN
#STEP	ANNOTATE_ORFS
#STEP	CREATE_ANNOT_REPORTS
#STEP	RPKM_CALCULATION
ERROR	RPKM executable /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1//executables/macosx/rpkm not found!
#STEP	ORF_PREDICTION
#STEP	COMPUTE_REFSCORE
#STEP	tRNA_SCAN
#STEP	ANNOTATE_ORFS
#STEP	CREATE_ANNOT_REPORTS
#STEP	RPKM_CALCULATION
ERROR	RPKM executable /Users/kishori/MetaPathways2.4/MetaPathways_Python.2.5.1//executables/macosx/rpkm not found!
