#STEP	ORF_PREDICTION
#STEP	COMPUTE_REFSCORE
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.metacyc-v4-2011-07-03.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.COG_2013-12-27.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.refseq-nr-2014-01-18.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/genbank//P1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.metacyc-v4-2011-07-03.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.COG_2013-12-27.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.refseq-nr-2014-01-18.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/genbank//P1.annot.gff
#STEP	ORF_PREDICTION
#STEP	COMPUTE_REFSCORE
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.metacyc-v4-2011-07-03.LASTout
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.refseq-nr-2014-01-18.LASTout
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.COG_2013-12-27.LASTout
#STEP	STATS_rRNA
#STEP	STATS_rRNA
#STEP	STATS_rRNA
#STEP	tRNA_SCAN
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.refseq-nr-2014-01-18.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.metacyc-v4-2011-07-03.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.COG_2013-12-27.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/genbank//P1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/genbank//P1.annot.gff
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.metacyc-v4-2011-07-03.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.COG_2013-12-27.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/blast_results//P1.refseq-nr-2014-01-18.LASTout.parsed.txt
ERROR	Missing input /Users/kishori/MetaPathways2.4/MetaPathways_Python/regtests/output/P1/genbank//P1.annot.gff
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	ANNOTATE_ORFS
#STEP	CREATE_ANNOT_REPORTS
#STEP	COMPUTE_REFSCORE
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	PARSE_BLAST
#STEP	PARSE_BLAST
#STEP	ANNOTATE_ORFS
#STEP	CREATE_ANNOT_REPORTS
#STEP	COMPUTE_REFSCORE
#STEP	FUNC_SEARCH
#STEP	FUNC_SEARCH
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
#STEP	COMPUTE_REFSCORE
